id,years,black,afro,primlev,seclev,nsecond,anysec,priorlev,nprior,anyprior,attract,babyface
1,3.83,0,1.94286,7,5,1,1,0,0,0,2,2.77143
2,11.5,1,6.2,9,8,1,1,0,0,0,2.22857,2.65714
3,4.33,1,5,9,0,0,0,0,0,0,5.26471,4.26471
4,17.17,1,7.85714,10,4.33,3,1,0,0,0,3.54286,3.62857
5,14.17,1,5.5,6,6,1,1,4.25,4,1,2,4.94118
6,4.42,0,5.88235,7,7,3,1,7,4,1,2.08824,5.67647
7,99,0,2.94286,11,6.33,3,1,0,0,0,3.57143,4.22857
8,4.67,1,6.97143,5,3.86,7,1,0,0,0,2.2,3.85714
9,9.17,1,6.32353,9,4.67,3,1,0,0,0,3.44118,5.58824
10,9.17,1,5.4,11,0,0,0,0,0,0,3.25714,6.42857
11,23.75,0,4.38235,11,0,0,0,0,0,0,2.23529,5.44118
12,9,1,4.23529,9,8.5,2,1,0,0,0,2.58824,4.61765
13,3.75,0,3.28571,8,0,1,0,0,0,0,1.57143,4.65714
14,13.33,0,6.64706,8,3.5,2,1,0,0,0,2.85294,3.67647
15,2.92,1,4.08571,9,9,3,1,0,0,0,4.4,3.51429
16,3.67,1,7.02941,7,5,1,1,0,0,0,3.61765,4.35294
17,1.25,0,5.08571,9,5.5,3,1,0,0,0,2.82857,5.88571
18,3.42,0,1.88235,7,0,0,0,0,0,0,2.38235,6.38235
19,2.33,1,6.65714,4,0,0,0,3.8,10,1,3.65714,3.48571
20,1.92,1,4.32353,5,1,1,1,4.5,6,1,2.64706,2.79412
21,8.33,1,6.57143,10,8.67,9,1,0,0,0,4.14286,3.71429
22,8.83,1,5.52941,9,4.67,3,1,0,0,0,4.85294,6.61765
23,23.58,1,6.77143,10,8,1,1,0,0,0,2.37143,2.88571
24,13,0,3.70588,8,8,3,1,2.54,13,1,2.79412,3.61765
25,1.33,1,6.73529,5,3,4,1,3.5,4,1,3.17647,3.35294
26,1.67,0,2.8,4,2,1,1,0,0,0,5.22857,5.6
27,3.08,0,2.67647,6,0,0,0,0,0,0,5.05882,5.02941
28,3.17,0,2.54286,7,7,1,1,0,0,0,4.51429,3.62857
29,1.17,1,2.31429,9,0,0,0,0,0,0,3.11429,5.2
30,2.67,1,5.85294,5,3.67,3,1,5,5,1,3.14706,4.64706
31,14.08,0,2.97143,7,2.5,2,1,2.5,4,1,3.37143,2.85714
32,1.33,0,3.08824,4,4,3,1,4,3,1,3.32353,4.32353
33,0.42,0,3.4,4,2.5,2,1,0,0,0,3.85714,2.82857
34,10,0,3.41176,8,6.6,5,1,0,0,0,3.32353,4
35,1.42,0,1.68571,4,2.25,4,1,4,1,1,1.91429,3.4
36,1.25,1,6.88571,2,2,1,1,2,2,1,4.45714,2.65714
37,1.08,1,4.47059,5,4.33,3,1,0,0,0,3.88235,5.23529
38,0.92,1,6.74286,5,2.5,2,1,0,0,0,3.57143,5.65714
39,1.5,0,2.71429,5,4,2,1,0,0,0,2.65714,4.42857
40,7,1,5.82353,7,0,0,0,0,0,0,2.5,5.29412
41,1.83,0,2.41176,5,3,2,1,0,0,0,2.73529,4.79412
42,1.58,0,1.94286,5,4,1,1,0,0,0,2.45714,4.6
43,1.58,1,6.22857,5,3,1,1,3.8,5,1,3.82857,4.4
44,3.5,0,2.79412,9,8,1,1,0,0,0,3.64706,2.79412
45,2.25,1,5.88235,8,0,0,0,8,1,1,4.02941,4.20588
46,3.58,0,2.08571,8,0,0,0,0,0,0,2.71429,5.34286
47,0.42,0,2.76471,4,4,1,1,0,0,0,2.47059,4.02941
48,0.83,1,6.02857,4,4.5,4,1,0,0,0,3.45714,2.88571
49,0.67,0,3.4,1,0,0,0,6,1,1,2.77143,3.91429
50,2.67,0,2.67647,4,2,2,1,2,1,1,3.23529,4.26471
51,2.58,1,6.08824,4,4,1,1,0,0,0,3.05882,3.85294
52,7.5,1,6.02857,3,0,0,0,0,0,0,1.91429,4.17143
53,1.33,1,6,7,0,0,0,0,0,0,4.67647,5.58824
54,14.42,1,7.28571,9,7.5,2,1,0,0,0,3.42857,4.97143
55,1.08,1,4.91176,4,0,0,0,5,1,1,2.26471,4.20588
56,3.92,0,4.14706,9,7.67,3,1,0,0,0,2.20588,3.64706
57,9.33,0,2.42857,6,4.5,4,1,0,0,0,1.8,2.34286
58,1.33,0,3.79412,5,2.5,2,1,0,0,0,3.29412,5.52941
59,0.75,0,2.34286,2,2,1,1,2,6,1,2.68571,3.65714
60,1.08,1,6.77143,5,0,0,0,0,0,0,2.51429,4.8
61,1.33,1,5.14706,7,2,1,1,0,0,0,3.70588,2.79412
62,99,1,6.31429,11,9,1,1,0,0,0,4.85714,5.8
63,3.42,0,2.88571,7,5,1,1,3,2,1,2.45714,2.77143
64,1.58,0,2.97059,7,4,1,1,0,0,0,3.23529,3.14706
65,2.08,0,5.77143,6,6,1,1,4,1,1,3.2,3.91429
66,1.58,1,5.79412,9,0,0,0,0,0,0,3.55882,2.70588
67,27.5,1,5.45714,9,6.5,2,1,8,2,1,2.05714,1.74286
68,9.25,0,4.61765,8,0,0,0,0,0,0,3.85294,3.61765
69,1.42,1,6.32353,5,5,1,1,3,4,1,2.76471,2.88235
70,4.67,1,6.91429,4,6,2,1,7,1,1,3.97143,3.31429
71,3.42,1,4.52941,7,7,1,1,0,0,0,3.35294,4.35294
72,2.17,0,2.68571,4,4,15,1,0,0,0,3.22857,3.85714
73,9.67,0,4.76471,9,0,0,0,3,1,1,2.67647,4.58824
74,1.83,1,7.62857,5,3.33,3,1,0,0,0,3.45714,5.14286
75,1.92,1,6.76471,5,3,1,1,0,0,0,3.88235,4.88235
76,0.83,0,1.94286,4,3,6,1,7,1,1,3.82857,2.82857
77,1.92,0,3.08824,4,2,1,1,2,1,1,3.58824,5.82353
78,3.42,1,7.8,7,6.33,3,1,0,0,0,5.08571,5
79,0.75,0,1.48571,6,0,0,0,0,0,0,2.34286,3.08571
80,2.42,1,4.85294,9,4,1,1,5,4,1,3.35294,4.70588
81,3.75,1,6.82857,9,4,1,1,0,0,0,2.68571,4.6
82,9.33,1,6.55882,9,6,2,1,0,0,0,4.23529,5.17647
83,2.92,1,4.94286,7,0,0,0,0,0,0,3.48571,5.54286
84,1.67,1,5.85294,9,0,0,0,0,0,0,3.38235,3.29412
85,1.5,1,6.91429,4,4,1,1,0,0,0,3.25714,5.31429
86,1.5,0,2.70588,5,3.33,3,1,2.33,3,1,2.91176,6.17647
87,4.33,1,5.85294,9,7,2,1,0,0,0,2.88235,2.85294
88,3.17,1,2.71429,8,0,1,0,0,0,0,4.25714,5.14286
89,1.83,1,5.70588,5,4.5,6,1,6,1,1,3.73529,3.76471
90,4.67,1,6.77143,10,4.75,4,1,0,0,0,3,2.91429
91,99,1,6.26471,11,0,0,0,5,1,1,3.23529,4.73529
92,0.58,1,6.65714,5,3,1,1,3,4,1,2.74286,2.54286
93,4.92,1,5.5,9,0,0,0,7.5,2,1,2.79412,4.55882
94,4.58,0,6.94286,4,0,1,0,7,1,1,6.25714,5.82857
95,8.58,0,2.23529,7,1.67,3,1,3,2,1,3.70588,3.32353
96,0.75,1,6.14286,7,3.5,2,1,5,3,1,1.88571,3.31429
97,2.42,1,5.82353,7,5,1,1,5,1,1,4.55882,4.76471
98,9.5,0,5.74286,6,5.33,3,1,5.5,2,1,2.57143,5.51429
99,4.58,0,3.35294,8,3.67,6,1,0,0,0,3.05882,5.79412
100,2.92,1,7.6,7,2,1,1,0,0,0,3.51429,4.71429
101,2.25,0,5.02857,7,3,2,1,6,2,1,3.94286,3.88571
102,4.75,0,5.79412,4,4,3,1,0,0,0,3.91176,2.64706
103,4.5,1,6.94118,7,0,0,0,0,0,0,4.32353,3.91176
104,1.25,0,2.02857,5,4,2,1,5,3,1,2.51429,1.85714
105,5.42,0,3.17647,7,0,0,0,0,0,0,2.29412,3.64706
106,1.83,1,7.14286,6,0,0,0,0,0,0,2.94286,2.91429
107,18.42,1,4.14706,9,0,1,0,0,0,0,2.88235,4.61765
108,4.33,0,3.08571,5,0,0,0,0,0,0,2.65714,4.22857
109,99,1,5.76471,11,9,1,1,0,0,0,4.44118,5.61765
110,3.92,1,7.57143,9,0,0,0,0,0,0,3.34286,3.2
111,2.67,0,2.11765,7,2,1,1,2.67,3,1,1.97059,4.47059
112,1.92,0,4.11429,6,0,0,0,3.4,5,1,6.51429,2.97143
113,1.58,1,5.76471,5,3.5,2,1,4,4,1,2.32353,3.44118
114,5,0,1.68571,9,5,1,1,0,0,0,2.54286,5.31429
115,6.42,0,2.02941,8,3.625,8,1,2,1,1,1.73529,4.52941
116,0.5,0,1.94286,4,2,1,1,0,0,0,2.6,4.97143
117,1.08,0,2.64706,4,2.86,7,1,0,0,0,2.55882,4.88235
118,2.33,0,2.02857,5,3.33,6,1,0,0,0,1.74286,3.62857
119,0.42,0,2.44118,7,2,2,1,4,2,1,3.41176,3.91176
120,6.75,0,3.08571,5,4,6,1,0,0,0,3.62857,3.48571
121,0.92,0,3.05882,5,2,1,1,5,1,1,3.76471,3.97059
122,3.83,0,2.08571,6,4,3,1,0,0,0,3.71429,2.82857
123,3.42,1,6.85714,6,4,1,1,0,0,0,3.31429,2.2
124,2.17,0,2.38235,3,2,3,1,2,1,1,2.97059,3.61765
125,2.5,0,2.65714,5,4,1,1,0,0,0,1.82857,3.6
126,1.92,0,2.82353,7,3,1,1,0,0,0,1.91176,3.70588
127,2.83,1,6.44118,5,1,1,1,4,1,1,3.52941,3.79412
128,2.67,1,5.28571,6,0,0,0,0,0,0,2.02857,4
129,1.75,0,3.31429,6,3,2,1,6,1,1,2.22857,5
130,0.58,0,3.85294,5,0,0,0,0,0,0,3.5,2.14706
131,0.67,0,2.48571,3,0,0,0,3,1,1,5.34286,4.77143
132,0.75,0,2.73529,4,2,1,1,2,1,1,2.67647,5.64706
133,2,0,2.25714,4,0,0,0,0,0,0,2.68571,3.74286
134,1.58,1,6.52941,5,2.83,6,1,2.67,6,1,3.35294,4.05882
135,0.92,1,5.88571,5,4,1,1,4,1,1,2.45714,2.62857
136,5.42,1,5.17647,9,5,1,1,0,0,0,3.61765,4.97059
137,3.08,0,2.41176,4,3,3,1,0,0,0,2.88235,5.05882
138,2.67,0,3.11765,7,0,0,0,0,0,0,2.5,2.91176
139,4.08,0,6.74286,6,0,0,0,0,0,0,3.57143,3.85714
140,3.42,0,2.52941,6,4.67,3,1,6,1,1,2.79412,3.58824
141,2.5,1,3.14706,7,4,1,1,0,0,0,4.41176,3.58824
142,2.92,0,2.34286,6,0,0,0,0,0,0,1.6,3.77143
143,2.33,1,7.28571,7,0,0,0,0,0,0,3.17143,3.22857
144,1.83,1,6.38235,7,5,1,1,0,0,0,3,3.02941
145,2.58,0,3.14706,5,0,1,0,0,0,0,5.02941,4.79412
146,9.75,0,4.34286,7,3.43,9,1,0,0,0,2.48571,3.45714
147,2.92,0,3,9,0,0,0,0,0,0,2.20588,4
148,0.83,0,2.17143,4,0,0,0,0,0,0,3.22857,4.97143
149,1.17,1,7,7,4.33,3,1,4,3,1,2.57143,2.57143
150,1.17,1,4.79412,6,3,1,1,4.33,3,1,4.29412,5.35294
151,1.58,1,7.42857,5,4,2,1,5,1,1,3.94286,3.11429
152,2.25,1,4.38235,5,5,1,1,3,2,1,3.94118,4.97059
153,2.33,1,4.71429,6,4.67,3,1,8,4,1,2.22857,3.05714
154,3.5,1,5.44118,7,7,3,1,0,0,0,3.97059,5.35294
155,1.83,1,6.31429,6,4,2,1,3.33,3,1,3.94286,2.68571
156,4.25,0,2.91176,9,4,2,1,0,0,0,2.52941,3.55882
157,2.75,0,2.05714,4,3.18,17,1,0,0,0,1.42857,1.65714
158,0.75,0,2.76471,4,0,0,0,4,4,1,4.79412,4.14706
159,1.25,0,2.37143,4,3.33,3,1,0,0,0,2.25714,4.8
160,2.67,0,3.61765,7,3,2,1,7,1,1,2.55882,2.85294
161,2.58,0,2.74286,8,7,1,1,0,0,0,2.65714,7.08571
162,1.33,0,2.11765,5,4.5,4,1,5,1,1,2.67647,3.02941
163,9.92,0,2.6,9,0,0,0,0,0,0,2.6,3.17143
164,0.75,1,6.08824,4,3.167,6,1,3,2,1,3.20588,4.26471
165,1.25,0,6.88235,5,4,3,1,0,0,0,6.05882,3.17647
166,3.25,0,2.82857,8,5,1,1,0,0,0,3.74286,3.25714
