"","V1","V2","V3","V4","V5","V6"
"1",3,5,2,1,2,2
"2",2,2,3,2,2,4
"3",4,4,3,4,2,2
"4",4,5,4,4,3,5
"5",5,4,3,2,2,2
"6",4,5,1,2,4,1
"7",1,1,3,4,1,3
"8",3,4,4,5,2,5
"9",5,5,5,4,4,3
"10",5,5,5,5,4,4
"11",4,4,4,4,4,3
"12",3,3,2,4,3,3
"13",3,3,3,4,2,3
"14",3,5,3,3,4,3
"15",3,5,3,2,3,2
"16",3,3,2,4,4,2
"17",4,4,3,4,2,4
"18",3,2,4,3,1,3
"19",3,4,2,3,2,3
"20",3,2,3,3,1,1
"21",5,4,3,3,3,2
"22",3,4,2,4,2,2
"23",5,4,4,4,4,1
"24",5,5,4,4,5,4
"25",4,5,3,5,2,3
"26",3,2,2,2,1,2
"27",5,5,4,3,3,2
"28",4,4,1,1,4,1
"29",2,4,3,3,3,2
"30",5,4,4,4,3,4
"31",3,2,5,3,3,3
"32",4,5,5,5,2,4
"33",2,3,1,2,3,3
"34",1,3,1,1,1,1
"35",4,3,5,5,3,5
"36",2,3,3,4,4,4
"37",3,3,4,3,2,1
"38",4,4,4,4,3,3
"39",2,3,1,2,4,1
"40",2,3,3,4,2,4
"41",5,3,2,2,3,2
"42",3,4,4,4,2,5
"43",5,3,5,5,3,4
"44",1,3,3,3,1,3
"45",2,2,5,4,2,3
"46",2,4,5,2,4,3
"47",3,4,3,3,2,5
"48",3,3,2,4,2,3
"49",4,4,2,1,1,3
"50",1,3,3,4,1,3
"51",2,3,1,3,2,2
"52",2,2,3,3,2,3
"53",3,3,2,2,2,1
"54",4,2,4,3,3,4
"55",5,5,5,4,3,3
"56",2,4,1,2,2,2
"57",2,2,2,4,3,3
"58",4,4,4,3,3,4
"59",3,4,2,2,1,1
"60",5,4,3,4,4,4
"61",2,1,2,3,2,3
"62",4,4,4,5,5,5
"63",1,4,3,4,1,2
"64",5,5,5,5,5,5
"65",3,4,2,3,2,3
"66",3,5,3,5,3,3
"67",3,3,2,3,3,3
"68",4,4,5,5,3,5
"69",4,5,3,1,3,1
"70",3,3,2,2,3,2
"71",3,5,2,4,3,4
"72",2,4,3,4,3,2
"73",2,3,2,2,1,1
"74",3,3,3,5,1,3
"75",4,1,4,5,1,5
"76",3,3,3,4,2,1
"77",3,4,5,5,5,3
"78",2,4,4,2,3,4
"79",2,2,2,2,1,1
"80",3,2,1,1,3,1
"81",5,4,2,2,1,2
"82",3,3,3,4,2,3
"83",2,2,1,2,1,1
"84",1,1,2,1,1,2
"85",2,2,2,3,2,3
"86",1,4,2,4,3,2
"87",2,2,2,3,1,2
"88",2,3,4,1,2,2
"89",3,4,3,2,2,4
"90",3,4,2,3,2,3
"91",1,3,3,3,3,4
"92",2,5,4,3,4,3
"93",3,4,2,2,2,4
"94",4,3,4,3,3,3
"95",4,4,2,3,3,1
"96",3,2,4,4,1,2
"97",5,5,4,3,3,4
"98",2,2,3,2,3,2
"99",4,4,3,3,1,5
"100",3,2,2,3,2,2
"101",4,1,1,2,1,1
"102",3,5,2,3,4,2
"103",3,5,1,3,3,2
"104",3,4,4,3,3,1
"105",3,3,2,3,1,3
"106",1,3,2,3,2,1
"107",5,4,3,3,3,2
"108",4,4,4,4,3,3
"109",2,3,1,1,1,1
"110",1,3,5,3,2,4
"111",4,3,2,2,2,2
"112",4,5,3,3,5,2
"113",4,4,3,3,4,3
"114",3,1,3,3,3,3
"115",3,3,1,3,2,1
"116",4,4,3,3,3,2
"117",2,2,3,3,2,2
"118",2,2,2,2,2,1
"119",5,5,5,3,5,5
"120",2,4,4,3,2,3
"121",3,4,3,5,3,2
"122",2,4,1,4,1,3
"123",5,4,4,5,3,4
"124",3,2,4,4,1,4
"125",4,4,3,3,3,2
"126",4,5,4,2,3,4
"127",2,2,3,3,1,2
"128",3,3,3,5,1,3
"129",2,3,2,3,2,4
"130",1,3,3,5,1,4
"131",4,5,3,3,4,4
"132",4,5,4,4,2,2
"133",2,4,4,5,3,3
"134",1,1,1,1,1,2
"135",2,3,4,4,2,2
"136",4,5,4,4,5,4
"137",4,4,3,2,1,3
"138",3,3,5,3,4,4
"139",1,1,2,4,1,2
"140",5,4,3,4,2,3
"141",4,5,2,4,5,4
"142",4,4,3,4,3,1
"143",2,1,3,1,2,2
"144",4,4,2,3,1,3
"145",2,2,3,5,2,4
"146",2,3,4,3,1,4
"147",2,3,3,5,1,3
"148",3,5,4,3,3,2
"149",2,4,4,5,2,4
"150",4,3,1,2,1,1
"151",4,3,2,2,3,1
"152",2,3,4,4,2,5
"153",5,5,5,5,5,3
"154",5,5,2,4,4,2
"155",2,4,5,4,4,5
"156",4,3,3,3,3,3
"157",2,3,2,4,1,3
"158",2,4,2,3,1,2
"159",1,3,3,3,2,3
"160",4,4,3,4,1,2
"161",3,5,5,3,3,3
"162",4,5,2,3,3,2
"163",2,2,3,3,1,2
"164",1,2,4,4,2,4
"165",4,2,2,1,4,2
"166",1,2,3,2,1,1
"167",3,1,1,2,3,1
"168",2,3,3,3,2,3
"169",3,4,3,5,2,3
"170",3,3,2,2,1,1
"171",5,5,3,4,5,5
"172",2,3,2,4,1,1
"173",2,4,5,5,3,4
"174",1,1,3,1,1,2
"175",5,5,4,3,4,3
"176",3,2,2,2,2,1
"177",2,4,2,3,2,2
"178",4,2,2,3,1,3
"179",2,3,2,2,2,1
"180",2,3,4,5,1,3
"181",2,5,4,4,2,4
"182",3,5,4,4,4,1
"183",3,4,3,3,4,4
"184",1,3,2,2,3,2
"185",5,4,3,2,4,1
"186",2,2,5,5,1,4
"187",3,4,4,3,3,2
"188",4,2,4,3,2,2
"189",3,2,3,5,2,3
"190",3,2,4,2,2,2
"191",2,3,3,4,2,3
"192",3,4,3,2,3,3
"193",4,5,5,5,4,3
"194",1,1,3,2,1,2
"195",3,4,1,2,2,1
"196",2,2,2,2,2,2
"197",2,2,4,2,3,4
"198",5,4,1,1,3,2
"199",2,3,2,2,2,3
"200",5,5,3,2,5,2
