"","V1","V2","V3","V4","V5","V6"
"1",4,5,3,4,4,6
"2",3,3,2,4,5,2
"3",5,3,2,6,4,4
"4",5,2,3,5,6,1
"5",6,5,4,4,5,4
"6",5,6,5,4,4,6
"7",2,2,3,4,3,2
"8",4,4,5,4,5,3
"9",6,5,4,5,5,3
"10",6,4,6,6,5,6
"11",5,3,3,3,4,1
"12",4,3,3,4,4,4
"13",4,6,4,4,4,5
"14",4,5,5,4,5,6
"15",4,5,3,3,3,3
"16",4,7,5,3,3,5
"17",5,4,4,5,6,4
"18",4,4,4,4,4,2
"19",4,5,6,5,5,4
"20",4,4,5,3,2,6
"21",6,6,6,6,5,6
"22",4,5,3,6,4,4
"23",6,4,5,5,3,4
"24",6,4,5,3,5,4
"25",5,1,2,3,4,2
"26",4,3,4,3,3,5
"27",6,4,5,5,4,3
"28",5,6,5,5,4,5
"29",3,3,3,3,3,3
"30",6,2,4,6,6,3
"31",4,4,4,5,4,4
"32",5,4,5,5,4,4
"33",3,2,4,3,4,3
"34",2,1,1,2,1,1
"35",5,3,4,4,4,3
"36",3,5,6,5,5,5
"37",4,2,3,3,1,3
"38",5,5,6,4,5,4
"39",3,4,3,6,3,3
"40",3,5,4,2,5,3
"41",6,5,4,5,5,6
"42",4,7,6,3,5,5
"43",6,5,5,6,6,7
"44",2,3,2,2,3,4
"45",3,4,5,3,3,3
"46",3,2,3,3,3,2
"47",4,4,4,3,6,4
"48",4,3,4,2,3,3
"49",5,4,5,4,6,4
"50",2,2,1,1,3,4
"51",3,1,1,3,3,3
"52",3,6,6,5,5,6
"53",4,6,6,3,2,5
"54",5,5,3,4,5,4
"55",6,4,7,5,4,5
"56",3,4,4,4,4,6
"57",3,3,3,4,4,4
"58",5,4,3,4,5,3
"59",4,4,4,4,3,5
"60",6,5,4,5,6,4
"61",3,3,5,4,4,3
"62",5,5,4,5,7,5
"63",2,4,4,2,2,4
"64",7,2,4,6,6,2
"65",4,3,3,4,4,2
"66",4,4,5,5,4,4
"67",4,3,2,3,4,3
"68",5,3,3,3,5,3
"69",5,5,5,4,4,4
"70",4,5,4,2,3,5
"71",4,4,3,4,5,4
"72",3,5,4,3,3,4
"73",3,3,5,4,3,5
"74",4,3,4,6,4,3
"75",5,4,4,4,6,5
"76",4,5,3,3,2,6
"77",4,3,3,3,3,3
"78",3,3,2,4,4,2
"79",3,3,3,4,3,3
"80",4,5,6,4,4,6
"81",6,6,6,6,6,5
"82",4,5,5,2,4,4
"83",3,5,5,5,4,5
"84",2,3,3,3,3,1
"85",3,3,3,3,4,4
"86",2,5,6,5,3,4
"87",3,4,5,3,4,4
"88",3,3,4,3,3,3
"89",4,2,3,6,6,2
"90",4,3,4,4,5,3
"91",2,4,5,3,4,5
"92",3,4,4,3,3,5
"93",4,2,4,4,6,3
"94",5,4,5,4,4,5
"95",5,3,2,4,2,4
"96",4,4,3,5,3,4
"97",7,5,6,5,7,4
"98",3,5,3,4,3,4
"99",5,5,5,3,7,6
"100",4,3,3,2,3,4
"101",5,3,2,5,4,4
"102",4,4,4,4,3,4
"103",4,4,5,3,4,4
"104",4,4,4,5,2,4
"105",4,5,3,3,4,4
"106",2,3,2,2,1,4
"107",6,5,6,7,5,4
"108",5,5,6,4,4,6
"109",3,5,3,2,3,4
"110",2,3,3,3,3,4
"111",5,5,6,6,5,6
"112",5,5,6,6,4,5
"113",5,3,4,4,4,3
"114",4,4,4,5,5,5
"115",4,2,1,3,3,3
"116",5,4,5,4,4,5
"117",3,1,3,4,3,2
"118",3,4,4,3,3,2
"119",6,5,4,5,6,5
"120",3,3,3,4,4,3
"121",4,5,4,4,3,5
"122",3,3,4,4,4,3
"123",6,6,6,5,6,6
"124",4,3,3,2,4,3
"125",5,7,7,4,4,4
"126",5,3,3,5,6,4
"127",3,4,3,6,3,3
"128",4,2,1,4,4,2
"129",3,4,4,2,5,5
"130",1,3,4,4,3,4
"131",5,7,6,3,5,6
"132",5,6,6,5,3,5
"133",3,4,4,3,3,4
"134",2,4,3,2,4,4
"135",3,3,4,4,2,4
"136",5,3,4,6,5,5
"137",5,4,4,3,4,5
"138",4,2,3,4,5,4
"139",2,2,3,2,2,1
"140",6,3,4,4,5,4
"141",5,4,3,6,6,3
"142",5,4,5,6,3,3
"143",3,5,5,2,4,6
"144",5,2,2,5,5,3
"145",3,4,4,3,4,6
"146",3,3,1,2,4,2
"147",3,3,2,2,2,1
"148",4,4,5,5,4,4
"149",3,4,2,2,4,3
"150",5,4,6,5,4,5
"151",5,3,4,4,3,3
"152",3,4,4,4,5,4
"153",6,4,4,6,4,4
"154",6,5,4,5,5,6
"155",3,3,3,2,5,2
"156",5,1,3,5,5,2
"157",3,5,6,3,4,5
"158",3,5,4,3,4,5
"159",1,4,3,1,3,5
"160",5,6,6,6,4,6
"161",4,5,5,4,4,4
"162",5,3,6,6,4,2
"163",3,3,4,4,3,5
"164",2,4,5,4,4,2
"165",5,4,4,5,5,4
"166",2,3,4,3,1,3
"167",4,4,4,4,4,4
"168",3,5,5,4,4,3
"169",4,3,2,6,4,2
"170",4,4,4,4,3,3
"171",6,4,5,6,7,5
"172",3,2,3,2,2,2
"173",3,4,4,3,4,2
"174",1,4,5,1,3,6
"175",6,4,6,5,5,3
"176",4,3,4,4,4,4
"177",3,4,4,3,3,6
"178",5,2,1,3,4,2
"179",3,4,3,3,3,2
"180",3,5,3,2,2,3
"181",3,5,4,4,4,5
"182",4,7,7,3,2,6
"183",4,2,3,5,5,2
"184",2,2,2,3,2,3
"185",6,7,7,6,4,6
"186",3,4,5,5,4,3
"187",4,5,6,3,3,7
"188",5,5,2,6,4,3
"189",4,3,2,4,4,3
"190",4,4,4,2,3,3
"191",3,3,3,5,4,3
"192",4,5,4,3,4,6
"193",5,6,4,6,4,7
"194",2,4,3,2,2,4
"195",4,6,5,4,3,6
"196",3,6,6,3,4,4
"197",3,4,3,2,4,2
"198",6,4,4,5,5,3
"199",3,2,2,2,3,2
"200",6,4,5,4,5,4
"201",6,3,4,5,5,4
"202",2,4,3,3,1,3
"203",4,3,4,5,6,2
"204",5,6,4,6,5,5
"205",3,6,5,4,5,4
"206",6,1,2,6,5,3
"207",1,2,3,1,1,4
"208",5,5,4,3,4,5
"209",5,3,2,6,5,5
"210",4,4,3,2,4,3
"211",4,4,3,4,2,5
"212",4,5,4,4,4,4
"213",4,4,5,3,5,5
"214",7,5,5,6,7,4
"215",6,3,5,7,6,5
"216",3,4,4,1,2,4
"217",4,3,4,5,4,5
"218",2,5,4,3,2,4
"219",4,3,2,4,5,3
"220",3,3,3,1,2,3
"221",4,2,4,5,3,3
"222",5,5,6,4,6,4
"223",4,3,4,4,4,5
"224",4,4,4,4,5,3
"225",5,5,5,5,6,5
"226",2,4,2,3,2,3
"227",5,6,5,4,6,6
"228",3,5,6,3,4,6
"229",5,3,4,5,5,4
"230",4,2,5,2,3,4
"231",3,2,2,2,3,4
"232",5,5,4,5,4,5
"233",4,2,3,5,4,2
"234",5,3,3,6,4,4
"235",3,3,4,4,2,4
"236",4,3,2,3,2,3
"237",4,3,2,4,3,5
"238",4,5,4,3,3,3
"239",4,4,5,4,4,3
"240",4,3,5,4,4,4
"241",3,4,5,4,5,3
"242",4,5,5,4,4,4
"243",3,3,2,4,3,3
"244",5,5,5,5,5,5
"245",3,3,5,3,3,4
"246",5,5,4,5,5,4
"247",4,4,6,5,4,5
"248",4,4,3,4,5,5
"249",5,4,5,5,5,3
"250",5,3,4,5,5,3
