,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
1,4,5,3,5,5,4,3,4,4,3,3,5
2,5,4,4,5,4,4,3,2,4,4,4,4
3,3,2,3,5,4,2,1,1,2,3,2,1
4,3,3,2,5,4,3,5,1,1,3,4,3
5,5,4,3,4,5,5,2,3,4,3,3,4
6,4,5,2,4,3,3,2,2,4,2,2,5
7,4,5,2,4,5,5,3,4,4,2,3,3
8,2,2,1,4,2,3,4,1,1,3,2,3
9,1,1,5,3,2,2,1,1,1,2,3,1
10,3,3,2,3,5,4,3,3,2,2,3,2
11,3,3,4,5,3,3,5,1,2,4,3,1
12,4,5,2,3,4,2,3,4,4,2,3,3
13,4,4,2,5,5,4,2,4,4,4,2,3
14,2,1,3,3,4,1,3,2,1,3,1,1
15,4,5,5,5,5,4,3,3,4,3,4,3
16,3,4,4,5,5,4,4,3,3,3,5,5
17,5,4,3,4,5,4,3,3,4,4,3,5
18,3,4,4,5,4,3,4,2,3,5,5,5
19,5,5,2,4,5,4,3,3,3,1,3,5
20,4,2,5,5,5,5,3,4,4,3,5,4
21,5,4,5,5,4,4,4,3,4,4,4,4
22,4,5,4,5,4,5,4,4,4,3,5,2
23,3,5,4,4,4,5,4,3,3,3,3,5
24,4,3,3,4,5,3,4,2,4,2,3,2
25,5,5,5,5,5,5,5,4,4,4,4,3
26,2,2,3,5,5,2,3,4,3,2,4,5
27,2,2,1,3,4,2,1,1,1,1,1,2
28,5,5,4,5,5,5,3,3,5,5,4,3
29,5,4,4,5,5,3,5,2,2,4,4,3
30,1,3,1,1,5,3,1,3,1,1,2,2
31,5,2,4,5,5,2,4,3,2,4,4,3
32,5,5,5,5,5,5,5,4,3,4,5,4
33,2,3,4,5,1,2,1,1,3,3,2,3
34,3,3,1,4,3,3,2,2,2,1,2,2
35,5,4,5,5,5,5,5,4,5,4,4,4
36,4,4,3,3,4,4,3,3,2,2,1,4
37,5,4,4,5,5,4,4,3,5,5,4,4
38,3,3,4,5,5,3,4,4,3,3,4,3
39,4,4,2,3,4,4,2,3,2,2,3,4
40,4,5,5,5,5,5,5,4,4,4,4,5
41,4,4,4,5,5,5,5,4,3,4,5,4
42,3,3,3,5,4,4,4,2,3,3,2,5
43,4,5,3,5,5,2,3,3,3,5,3,4
44,3,5,4,5,3,3,2,3,4,2,3,3
45,5,3,4,5,5,3,4,5,5,4,2,5
46,1,2,1,4,4,2,2,2,1,2,3,4
47,3,4,5,4,4,4,4,3,3,4,3,1
48,4,4,1,4,5,5,3,2,3,3,2,1
49,4,4,5,4,5,4,4,3,2,3,5,4
50,3,2,1,5,3,3,1,2,3,4,2,1
51,5,4,3,5,5,3,5,4,3,3,3,4
52,3,2,4,5,5,5,4,4,4,2,5,5
53,5,4,2,2,3,3,3,2,2,2,1,3
54,4,4,3,5,5,5,5,2,3,4,3,3
55,5,3,4,5,4,5,4,2,3,4,4,5
56,5,5,3,5,5,4,4,3,2,5,3,4
57,3,4,3,5,5,5,4,4,4,4,4,3
58,3,4,2,5,4,4,2,4,3,2,4,4
59,2,3,2,5,5,4,2,5,5,2,3,3
60,5,5,4,5,5,4,3,4,4,4,3,5
61,4,4,2,5,5,5,4,5,4,1,4,3
62,4,4,5,5,5,5,5,4,4,3,4,5
63,2,4,3,4,3,2,3,1,3,2,4,3
64,2,2,4,2,4,2,2,2,1,1,1,1
65,3,4,3,5,4,3,5,2,2,2,2,4
66,2,4,1,5,4,4,3,2,2,2,3,2
67,3,1,4,5,5,3,3,2,1,3,3,4
68,5,5,5,4,4,5,3,2,3,3,2,4
69,4,5,2,5,5,4,3,4,3,3,3,4
70,2,4,5,5,4,3,3,2,3,3,4,3
71,2,2,2,3,3,2,3,1,1,1,1,3
72,5,4,3,4,5,4,2,2,2,3,3,2
73,5,4,1,3,4,3,2,2,3,3,2,2
74,3,4,4,5,5,3,2,4,3,3,3,4
75,4,4,3,5,4,2,4,2,2,4,3,5
76,5,5,3,4,4,3,3,4,3,1,4,3
77,1,1,2,4,3,2,1,1,1,1,2,5
78,5,5,4,4,4,4,3,5,5,2,3,3
79,5,5,3,5,5,5,4,4,5,4,3,4
80,3,3,2,3,5,3,3,3,1,2,3,5
81,4,4,4,5,5,4,5,2,4,3,4,3
82,3,4,1,5,4,3,2,3,3,2,2,3
83,2,5,4,5,5,4,2,3,3,3,2,4
84,5,3,5,5,5,3,3,4,5,4,4,3
85,2,5,2,5,4,4,4,3,2,3,3,3
86,5,5,4,4,5,5,3,4,5,2,3,5
87,4,5,3,5,5,4,4,4,5,4,3,5
88,3,3,5,5,3,4,4,1,4,3,5,3
89,5,3,2,4,4,4,2,3,4,2,1,5
90,1,4,2,5,4,2,4,2,1,2,5,3
91,5,5,3,4,5,3,2,2,3,3,4,2
92,5,5,5,5,5,5,4,4,3,3,3,5
93,3,3,3,5,3,3,3,2,2,3,3,3
94,3,2,3,5,2,3,3,1,2,2,1,3
95,2,5,2,4,2,3,4,2,3,3,2,4
96,5,3,4,4,5,3,3,3,3,3,3,3
97,4,5,5,5,5,4,5,2,4,5,4,2
98,4,3,4,5,4,3,5,4,3,2,3,4
99,3,3,3,4,2,3,3,1,2,4,3,2
100,4,3,4,5,4,5,5,3,2,3,5,4
101,4,2,4,4,5,2,4,5,4,3,3,3
102,1,2,3,2,3,2,2,2,1,1,3,4
103,2,2,3,5,3,3,2,3,3,3,2,5
104,2,4,1,2,2,1,1,2,1,1,1,4
105,4,3,2,4,4,3,2,2,1,4,5,3
106,3,4,3,5,4,2,2,3,3,3,4,4
107,5,5,3,3,5,4,2,4,4,2,1,3
108,3,4,5,5,5,3,4,4,4,4,5,3
109,4,4,5,5,5,5,4,4,4,4,4,3
110,5,5,5,5,5,4,5,3,3,5,3,3
111,4,4,2,3,5,4,2,3,5,1,1,5
112,3,4,5,5,3,2,5,2,2,4,2,5
113,4,5,3,5,4,4,4,3,4,4,5,4
114,2,3,3,4,4,5,1,3,2,2,2,3
115,5,5,5,4,5,5,4,3,3,4,4,4
116,5,5,3,5,5,4,4,4,4,2,3,3
117,4,5,4,5,4,5,5,4,2,3,5,5
118,5,4,4,5,5,4,3,3,4,2,3,4
119,2,4,5,4,4,4,3,4,5,2,3,2
120,3,5,4,5,4,4,5,2,3,3,4,5
121,2,3,4,5,2,1,3,1,3,3,1,3
122,2,3,1,4,2,2,2,3,2,1,2,4
123,3,2,5,2,4,5,3,4,3,3,4,1
124,5,3,5,5,5,4,3,5,4,5,5,5
125,4,4,5,5,5,3,4,5,4,4,4,3
126,4,3,3,5,4,3,3,1,2,4,1,4
127,2,4,3,5,3,3,4,2,2,4,4,3
128,4,4,3,5,5,4,2,3,4,4,3,4
129,2,3,3,4,3,1,4,1,2,3,2,3
130,5,4,5,5,5,4,5,3,4,5,5,2
131,5,5,5,5,5,5,4,5,5,5,5,5
132,4,3,2,2,5,4,1,3,3,2,1,5
133,2,2,3,5,2,3,3,2,1,3,2,2
134,2,1,2,4,4,3,1,1,1,2,2,2
135,1,2,3,5,2,3,2,1,1,2,3,4
136,5,4,4,5,5,5,4,3,3,3,3,4
137,4,4,4,5,4,3,5,3,3,3,4,3
138,4,3,4,5,4,4,3,2,2,4,3,4
139,5,5,5,5,5,5,3,5,4,5,5,3
140,2,3,3,4,4,2,3,2,1,3,2,2
141,5,4,5,5,5,5,5,3,5,5,5,4
