A1SNEGAF,A1SSATIS,A1PA44,A1SEMA
1.167,7.75,999,3
 , ,999, 
1.167,8.25,999,3.679
1,9.75,999,3.679
2.667,6.5,999,2.464
2.5,7.5,60,2.893
1.667,9,20,2.607
 , ,999, 
1,6.125,40,3.679
1.333,7.75,999,3.821
1,7,20,3.25
1.667,6.125,30,2.357
1.667,7,999,1.107
1.5,7.125,999,3.107
1,6.625,999,3.036
1,9,999,3
1.333,6.75,999,2.679
1.333,4.375,999,9
 , ,30, 
1,7.5,999,3.143
2.333,7.75,999,2.857
1.333,7.625,999,3.429
2,7.25,40,2.5
1.333,9,999,3.571
1.167,9,999,1.643
1.167,8,999,3
 , ,999, 
1.167,8,999,3.714
2.167,6.25,999,2.643
2.167,8.5,999,3
2.333,5.25,999,2.464
1.5,7.75,999,3.286
1.167,7.875,4,3.321
1.167,7,20,2.643
1.333,6,999,3.571
1.333,9.125,999,3.286
1.167,8.667,999,2.071
 , ,999, 
1.833,9.375,999,1.5
2.667,6.5,35,3.964
1.667,4,999,3.143
2,5.75,20,3.286
1,6.5,999,2.821
 , ,999, 
1,8.75,999,2.893
1.167,8.375,999,2.893
1,8.125,999,2.821
2.333,7.125,40,1.643
1,8.667,999,1.357
1,8.5,999,3.393
3,5.75,20,2.893
1.833,8.75,999,3.429
1.333,6,40,3.036
1.5,9,999,2.714
 , ,999, 
1,8,999,3.607
1,9,999,3.536
 , ,999, 
1.5,8,999,3.429
1.833,5.5,999,2.607
 , ,999, 
1.5,8.875,20,3.536
1.333,9.125,999,3.429
2,8.125,999,3.964
1.833,5.5,999,1.786
 , ,999, 
1.333,8.625,999,3.179
1.667,9.5,999,3.821
 , ,60, 
1,9.333,999,3.964
1.833,8,999,3.393
1.833,5.25,999,3.321
1,7.875,40,3.679
1.5,7,999,3.143
3,7.333,999,2.964
1.667,7.5,999,2.5
1,8.75,999,3.821
 , ,999, 
1,8.125,999,3.321
1.167,8,999,3.179
1.333,8.25,999,2.036
1.667,8.25,999,2.893
1,9.25,999,2.75
1.5,7.25,999,3.964
 , ,10, 
1.333,8.75,999,2.179
 , ,40, 
1.333,9,20,3.679
1.333,7.625,999,3.964
1,8.625,999,3.964
1.5,7.5,999,3.107
1,8.5,999,3.679
3.333,4.667,997,3.964
 , ,999, 
1.333,5.75,40,2.857
2.333,9.625,999,3.964
2.167,8.375,999,2.643
1.333,8,999,2.179
2.333,8.5,999,2.107
1.333,8,999,3.679
2,7,999,3.857
1.167,7.75,999,3.714
 , ,999, 
 , ,20, 
1.167,7.875,999,2.857
1,8.5,999,2.643
1.333,7.5,999,3.286
1.833,5.667,20,3.071
1.667,7.75,999,3.143
1.667,6.5,999,2.536
1.333,8.25,999,2.214
1.5,6,999,1.357
1.667,8,999,9
1.333,8.375,999,3.571
1,9.875,999,3.571
1,7.167,999,2.857
1.833,6.667,999,3.536
1.833,7.875,999,3.429
2.333,7.375,999,3.679
1.167,7.25,999,3.964
1.333,7.25,999,3.714
1.5,6.125,999,3.036
1,9,999,3.964
2,8.75,20,1.893
1,9.125,999,9
1,7.25,999,3.286
2.333,7,999,2.857
1.667,9.125,999,3.286
1.667,6.875,999,3.536
1.5,8.375,30,3.179
1.667,8,999,2.179
1,8.875,999,3.393
1.833,7.375,40,2.607
1.333,7.75,999,2.893
1.5,7.75,999,2.857
1,8.75,999,3.679
1.5,7.5,999,3.25
2.667,7.875,40,2.464
1,8.25,999,3.857
1.667,8.125,999,2.75
 , ,20, 
1.333,8.625,999,3.036
1,9.125,999,2.857
 , ,999, 
1.667,8.875,999,1.75
 , ,999, 
1.5,9.25,999,1.786
1.667,6.75,40,1.821
 , ,999, 
1.333,5.25,999,3.036
1,8.125,999,3
2.5,6.5,10,3.071
1,9.75,999,3.964
1.5,6.75,20,2.214
1.167,7.5,999,3
1,9.75,60,3.536
1,9,999,3.679
1.167,8.875,999,3.821
 , ,999, 
2.167,6.25,999,2.429
1,8.5,20,3.821
1.5,9.25,999,3
1.333,8.333,20,3.964
1.667,9.125,1,2.607
1,9,999,3.821
2,7,999,3.821
2.167,8.333,999,3.5
1.333,6.625,999,2.607
3,8.5,20,3.429
2,7.5,30,3.286
1,7.75,999,3.464
1,8.75,30,3
2.833,7.25,999,2.321
2.167,7,999,3.143
1.167,7.5,999,3.964
 , ,999, 
3,6.75,999,2.071
1.333,7.5,999,3
 , ,999, 
1,7.25,999,3.857
1.167,8.25,999,3.821
1.833,4.333,999,3.464
 , ,999, 
1.333,5.25,999,2.571
1.167,8.5,999,3.679
 , ,999, 
1.167,8.25,999,3.571
1.667,9.125,999,3.679
2,8.375,999,3.679
1.333,8.625,999,3.143
1,7.875,999,3.714
1,8.75,999,3.964
1,8.75,97,3.107
1.5,7.125,30,3.964
1.667,8,20,3.286
4,4.75,999,3.25
2,9.5,20,3.964
1.5,8.75,999,2.857
1,7.5,999,3.821
1.167,7.625,999,3.821
1.667,8.125,999,3.964
2,8.333,999,3.571
1,7.5,999,2.75
2,7.875,999,2.893
1.167,9.667,20,2.857
3,9,999,1.929
1.5,9.75,999,3.286
1.833,8.333,999,2.5
1.333,8.75,999,3.821
1,7.333,999,2.893
2,5.667,999,2.214
3,6.25,999,3.964
2,7.125,999,3.571
2,6.667,999,3.964
 , ,999, 
1.167,8.25,999,3.143
1,8.667,999,1.643
2.5,7.625,999,1.929
1,8,20,3.964
2.667,7.25,999,1.821
1.167,6.5,40,3.286
1.333,7.75,999,3.464
1.167,7.375,999,9
1.333,7.25,999,2.857
1,8.5,999,3.429
1.667,7.333,999,3.679
1.5,8.25,999,3.964
1.5,7.375,20,2.75
1.167,7.25,999,2.607
1.167,8.75,999,3.429
3,5.25,40,2.607
1.333,8.125,999,3.714
1.167,7.25,999,3.429
1.667,7.875,999,2.75
2,5.5,20,2.036
1.667,8.25,20,3.429
1,8.5,999,3.964
1.833,7.333,999,2.357
2,8,999,3.25
1.5,7.75,999,2.75
1.333,8.25,999,3.107
1,8.875,999,3.964
 , ,20, 
1,9.5,999,3.964
1.5,7.5,999,2.893
1.333,7.625,20,3.286
3,7,10,3.143
2.667,5.75,999,9
1.333,8.125,999,2.714
1,9.5,999,3.964
 , ,999, 
1.667,7,999,3.536
1,9.25,999,1.786
1,9,30,2.607
1.667,6.75,5,3.536
 , ,999, 
1.333,8.75,999,3.321
2.333,7.5,20,3.821
2.833,6.5,40,2.964
1.167,9,999,2.5
1,6.667,999,3.571
1.333,9.5,6,3.393
2,9,999,3.821
1.333,8.25,5,2.607
1,8.5,999,3.179
1,8.5,999,3.571
1,9,999,3.964
2,6.125,3,2.571
1.167,7.375,999,3.821
1.833,6.333,999,1.786
1.667,9.125,999,3.143
1,8.75,999,3.679
 , ,999, 
 , ,30, 
1.5,7.5,999,3.429
2,7.375,999,3.143
1,10,999,3.643
1,7.375,999,2.75
1,8.125,999,3.821
2.167,7.625,999,3.429
 , ,999, 
2.167,6.875,999,3.286
1.333,7,30,3.714
1.833,8.25,999,3.429
2.333,5.667,999,2.321
1.333,8,999,3.4
1.5,8.5,999,2.893
1.167,7.75,999,3.821
1.5,7.25,999,3.393
3.667,5,40,1.393
1,8.125,999,3.714
1.833,7.75,999,2.607
1.333,9,999,2.571
1.167,9.5,999,2.714
2.167,8.375,999,3.143
1,8.75,999,2.857
1.5,7.333,999,3.607
1.667,9.25,999,3.964
1.333,8.125,999,2.893
2.5,7.375,999,1.821
1.167,8.375,999,2.714
1,10,40,3.393
 , ,999, 
1.5,6.875,30,2.75
1.333,8.25,10,3.679
1.333,9,20,2.893
1.333,7,999,1.5
1.5,6,999,2.607
1.667,5,40,3.036
1.5,8.625,20,3.536
1.5,9.75,999,3.393
1.5,7.333,20,2.357
1,9.5,999,3.143
1.667,7.25,999,2.893
1.333,9,999,1.929
1.167,9,20,3.571
1,9.5,999,3.821
1.333,8.125,999,3
1.333,6.5,999,3.333
1,10,999,3
1.333,7.75,999,2.107
1.333,8.5,999,3.393
1.5,8.375,999,3.964
1.167,6.25,999,3.536
2.333,7.875,999,3.536
1,4.5,999,1.821
2.333,8.5,999,3.75
1.333,6.875,30,3.464
1.5,7.125,999,3.571
1.5,8.25,999,3.857
 , ,999, 
 , ,999, 
1.167,8.875,999,2.5
1.833,4.833,999,2.071
1.333,7,999,3.714
2.167,8.625,999,3.143
1,8.5,30,3.393
1.667,8.667,20,2.179
1,9,999,3.286
 , ,999, 
1,8.875,999,3.964
1.833,8,999,3.536
1,8.5,999,3.429
 , ,30, 
1.167,8.5,999,2.75
2.667,6.625,999,3.071
2.667,7,999,3.286
1,9.25,999,2.75
1.667,4.875,999,2.214
1,9.75,999,3.143
1,8.125,999,3.964
1.167,9.25,60,3.286
1,8.625,999,3.679
2.833,5.625,30,3.536
2.167,6.375,999,1.643
2.333,7.125,999,1.929
1.333,7.875,999,3.821
2,6.75,999,2.607
1.5,7.875,999,2.571
1.333,7.25,999,3.179
 , ,999, 
1.667,9,999,3.393
1.667,8.5,999,3.714
2.833,6.125,999,3.571
1.333,8.25,30,3.714
1,3,999,9
 , ,999, 
1.667,6.25,999,3.286
1,7.625,999,2.964
1.5,4,60,2.214
 , ,999, 
2.167,10,15,2.893
1.167,8,20,3.143
1.167,6.25,999,3.429
2.333,7.167,999,1.5
1,9,999,3.857
1.333,6.375,999,3.679
1.5,8.25,40,2.929
2.5,6.125,999,2.893
1.333,7.667,10,3.429
1.333,6.125,999,1.893
1.333,8.667,20,3.714
1,7,20,3.536
 , ,40, 
3.333,4.75,999,3
1,8.625,999,3.143
1.833,8,999,3.679
2.833,4.333,40,3.214
2.167,6.5,999,3.964
1.833,7,999,1.786
2.333,7.5,10,3.429
1,9.5,999,3.393
1,9,999,3.964
2.5,7.75,20,3.429
2.167,8,999,3.286
1,6.625,999,3.143
 , ,20, 
1.667,7,20,3.536
1.333,7.667,999,2.833
 , ,999, 
2.333,7.667,999,3.286
 , ,999, 
1.167,8,999,3.393
1,9.625,999,3.321
1,8.375,20,3.964
1.833,6.875,20,3.107
1.833,4.625,999,3.321
1.5,8,40,1.786
1.5,7.25,999,2.571
1,8.75,999,3.821
1.667,4,999,1.643
2.833,6.25,20,2.75
1.167,7.875,15,3.536
2.167,5.25,999,2.25
 , ,999, 
1,8.333,999,3.536
 , ,999, 
1.667,9.25,999,3.429
2.333,7.875,999,3.821
2.5,7.375,20,3.429
5,6,999,3.964
1,7.375,999,3.714
1,9,999,3.679
1,8,999,3.464
1,9.25,999,3.429
1,8.875,999,2.321
 , ,30, 
1.667,6.125,999,3.179
1.5,8.667,30,3.179
1.167,9.25,999,2.179
1,8.667,25,3.821
2,5.333,20,3.143
1.5,9.5,999,3
4.333,4.25,999,1.964
1.333,8,999,3.036
1.167,8.25,999,2.214
1.167,9.25,999,3.571
1.333,8.333,999,3.429
1,8.75,999,2.893
1.5,7.25,999,3.107
 , ,999, 
1.833,9.5,999,3.964
1,9.25,999,2.357
1.5,8.25,40,3.571
1.167,7.667,999,3.964
1.667,7.25,999,2.893
1.833,4.333,999,3.571
1.5,9.25,999,3.679
 , ,10, 
1.5,7.5,999,3.964
1.667,8.5,999,3.036
 , ,20, 
1.167,8.25,999,3.821
1.833,5.667,30,3.429
1.167,8.5,999,3.964
1,7.875,999,2.286
3,6,999,2.75
1,9.5,999,2.857
1.167,8.75,999,1.357
1.5,7.75,999,3.679
1,9.25,10,2.75
2,7.75,999,3.429
1,8.25,999,1.821
1.5,7.667,999,3
1.167,9.25,999,2.571
2,8.5,999,1.214
1.667,8.25,999,3.536
1.167,8,24,3.143
1,8.625,999,2.714
 , ,999, 
1.5,7.25,999,2.857
1.833,8,999,3.571
1.167,8.375,999,3.393
 , ,40, 
1.167,8.625,999,3.714
3.333,5.167,999,1.786
1,9,20,3.393
 , ,20, 
1,10,999,3.821
1,7.5,40,3.821
9,99,999,1.5
1.667,7.5,999,3.393
1,9.375,999,3.143
2.333,5.5,999,3.143
1.333,8,999,3.25
1.833,8,999,3.679
1,8,999,3.536
1.5,6,999,1.643
2,6.5,25,3.286
1,6.875,999,1.929
1,9.5,10,3
1.833,6,999,3.464
 , ,999, 
4.167,3.25,30,3.964
 , ,999, 
1,8.333,999,3.393
1.333,8.833,999,9
1.333,8.125,40,3.714
1,9.25,999,1.821
1.833,8,999,2.5
2.167,7.875,999,2.75
1.333,8,999,3.179
 , ,999, 
1.5,8.75,25,3.571
1.833,7.625,999,3.571
 , ,5, 
2.4,4,999,3.964
1.667,8.75,999,2.357
1.333,6.25,999,3.964
1.5,7,30,3.036
1.667,9,40,2.464
1.167,6.5,999,3.821
1.333,6.5,999,2.643
2.167,4.625,999,2.857
1,7.75,999,3.821
1.333,8.25,40,3.536
1.167,8.25,999,3.714
1,9,999,3.964
1.667,5.75,999,3.464
1.333,7.875,999,2.179
 , ,40, 
2.5,6.75,999,2.893
1.5,7.125,60,2.357
1.667,8.25,25,1.25
1.5,8.25,999,3.964
1.333,9,999,3.536
2.167,7.75,999,1.643
1.5,8.25,999,2.893
3,5,18,2.036
1.167,8.75,999,2.357
1.167,8.5,999,2.071
1.5,8.5,999,2.607
 , ,999, 
1.333,8.75,30,3.25
 , ,15, 
 , ,20, 
 , ,999, 
1.5,6,999,3.143
1.667,8.125,999,3.571
 , ,10, 
1,9.75,999,3.964
 , ,999, 
1.333,7.25,999,3.964
1.5,7.5,999,3.964
1.667,5.75,999,1.929
1,9.25,999,3.714
1.333,9.5,999,3.036
1,6,999,9
1,9.125,999,3.286
2.5,7.333,20,2.714
1,7.875,999,2.607
1,7.75,999,1.929
 , ,999, 
 , ,999, 
1.167,8.25,999,2.75
1.167,9.5,999,3.964
1,7.125,999,1.214
3.833,6.5,999,1.071
1.333,9.75,999,3.821
2.167,6.5,999,2.893
 , ,40, 
1.167,6.333,999,2.464
2,5.5,999,3.571
1.4,8.333,15,3.333
1.5,7,10,3.679
2,6.25,20,1.214
1,7.75,999,2.893
1.5,6.375,999,2.071
1.833,9,999,2.036
1.667,7.125,999,1.929
1.333,8.25,999,2.857
2,5.625,999,3.821
1.333,8.875,999,2.75
1.167,8.625,999,2.857
1.333,7.375,999,3.821
 , ,999, 
1,8.125,40,2.321
1.833,6.25,20,3.429
1.167,8.375,999,3.821
1.333,8,999,2.964
1,9.125,999,3.964
3,9,999,2.25
1.5,8.5,999,3.964
1,8.75,999,2.464
2.833,6,999,2.786
1.333,8.5,999,3.571
1.5,6.125,999,1.929
1.333,8.667,999,2.571
1,8.125,999,3.143
1.167,7.5,20,3.964
2.167,4.5,10,2.857
1.5,6.875,999,3.821
1.333,7.5,999,3.25
 , ,60, 
1.5,8.375,999,3.821
1.667,7.75,30,2.75
1.167,9,999,2.75
1,4.625,999,2.25
1.667,7.75,999,3.571
 , ,999, 
2.167,7.667,23,1.821
1,7.75,999,3.821
1.167,7.25,999,3.964
1,7.75,17,3.536
1.333,8.75,999,3.286
2.5,8.625,999,3.821
1,8.75,999,3.286
 , ,999, 
1,8.375,20,3.321
1.167,7.625,40,1.607
 , ,6, 
1.167,8,999,1.929
1.167,7.75,999,1.393
1.333,8.5,999,3.821
1,10,999,3.857
2.667,6.5,999,3.143
1.167,9,999,3.679
1,7.625,999,9
1,7.5,999,2.786
1,8.25,999,3.143
1.5,8.125,999,2.929
1,7.75,999,3.321
 , ,999, 
 , ,20, 
1.5,8.5,999,3.429
1,10,20,2.286
1.333,6,999,3.536
2,7,999,3.679
2.833,8.25,999,3.964
2.833,8,999,2.464
1,8.25,999,2.536
1.667,5.333,15,2.071
1,8,999,3.536
2.167,6.375,40,2.429
3.333,5,999,3.571
1.667,6.5,999,3.036
1.167,9,999,3.143
1,7.625,999,2.321
1.167,9.5,999,3.964
1,8.667,20,3.25
3.333,8.25,999,3.964
1.167,8.667,999,1.893
