          vars  n  mean    sd median trimmed   mad  min   max range  skew kurtosis   se
B1PAGE_M2    1 62 53.40  8.91  54.00   53.46  8.15 34.0 74.00 40.00 -0.12    -0.34 1.13
B1PRSEX      2 62  1.66  0.48   2.00    1.70  0.00  1.0  2.00  1.00 -0.67    -1.58 0.06
HRSWRK       3 62 39.81 16.24  40.00   40.32 14.83  4.0 80.00 76.00 -0.22    -0.02 2.06
B1PD15       4 62 17.69 19.73  11.00   13.68 13.34  2.0 96.00 94.00  2.44     6.48 2.51
CGIV         5 62  2.47  1.20   2.00    2.50  1.48  0.0  4.00  4.00 -0.09    -1.19 0.15
FWC          6 62  2.19  0.65   2.25    2.20  0.74  1.0  3.75  2.75 -0.07    -0.80 0.08
FAMSTRN      7 62  2.35  0.60   2.25    2.34  0.37  1.0  3.75  2.75  0.19    -0.42 0.08
PSS          8 62  3.48  1.03   3.67    3.52  0.99  1.0  5.00  4.00 -0.28    -0.71 0.13
B1SF1        9 62  7.40  1.98   8.00    7.64  1.48  2.0 10.00  8.00 -1.04     0.43 0.25
LS          10 62  0.00  0.81   0.06    0.09  0.87 -2.5  1.18  3.68 -1.03     0.82 0.10
B1PDEPRE    11 62  1.18  2.24   0.00    0.72  0.00  0.0  7.00  7.00  1.47     0.38 0.28
