id,wellbe,enhance,import,depress
1,4.916666667,4,5,0
1,4.916666667,5,5,0
1,4.916666667,4,5,0
1,4.916666667,5,5,0
1,4.916666667,4,4,0
1,4.916666667,5,5,0
1,4.916666667,5,5,0
1,4.916666667,4,5,0
1,4.916666667,4,3,0
1,4.916666667,5,5,0
1,4.916666667,5,4,0
1,4.916666667,2,3,0
1,4.916666667,2,2,0
1,4.916666667,2,2,0
2,2.916666667,4,3,1
2,2.916666667,3,3,1
2,2.916666667,3,3,1
2,2.916666667,4,4,1
2,2.916666667,3,3,1
2,2.916666667,3,3,1
2,2.916666667,3,3,1
2,2.916666667,3,3,1
2,2.916666667,4,3,1
2,2.916666667,4,3,1
2,2.916666667,3,3,1
2,2.916666667,4,4,1
2,2.916666667,3,3,1
2,2.916666667,4,3,1
3,5.166666667,4,4,0
3,5.166666667,1,1,0
3,5.166666667,2,3,0
3,5.166666667,3,3,0
3,5.166666667,3,4,0
3,5.166666667,3,4,0
3,5.166666667,3,4,0
3,5.166666667,4,4,0
3,5.166666667,4,3,0
3,5.166666667,5,4,0
3,5.166666667,3,3,0
3,5.166666667,4,4,0
3,5.166666667,4,5,0
3,5.166666667,3,4,0
4,3.666666667,3,4,1
4,3.666666667,3,2,1
4,3.666666667,2,2,1
4,3.666666667,3,4,1
4,3.666666667,3,4,1
4,3.666666667,3,4,1
4,3.666666667,3,4,1
4,3.666666667,3,4,1
4,3.666666667,3,4,1
4,3.666666667,3,5,1
4,3.666666667,1,3,1
4,3.666666667,3,4,1
4,3.666666667,2,4,1
4,3.666666667,2,4,1
5,3.083333333,4,5,1
5,3.083333333,3,4,1
5,3.083333333,2,4,1
5,3.083333333,4,5,1
5,3.083333333,2,4,1
5,3.083333333,1,3,1
5,3.083333333,2,5,1
5,3.083333333,3,5,1
5,3.083333333,4,3,1
5,3.083333333,3,3,1
5,3.083333333,4,4,1
5,3.083333333,3,4,1
5,3.083333333,3,4,1
5,3.083333333,4,4,1
6,3.666666667,5,5,1
6,3.666666667,4,2,1
6,3.666666667,3,3,1
6,3.666666667,5,5,1
6,3.666666667,2,3,1
6,3.666666667,1,3,1
6,3.666666667,1,4,1
6,3.666666667,3,5,1
6,3.666666667,2,3,1
6,3.666666667,2,5,1
6,3.666666667,3,5,1
6,3.666666667,3,5,1
6,3.666666667,2,4,1
6,3.666666667,4,5,1
7,3.75,3,4,0
7,3.75,1,1,0
7,3.75,2,2,0
7,3.75,3,2,0
7,3.75,3,3,0
7,3.75,3,3,0
7,3.75,2,3,0
7,3.75,1,2,0
7,3.75,2,2,0
7,3.75,3,2,0
7,3.75,2,2,0
7,3.75,3,3,0
7,3.75,2,3,0
7,3.75,2,5,0
8,2.75,4,5,1
8,2.75,5,2,1
8,2.75,3,5,1
8,2.75,3,4,1
8,2.75,1,5,1
8,2.75,3,2,1
8,2.75,2,5,1
8,2.75,4,4,1
8,2.75,2,2,1
8,2.75,2,5,1
8,2.75,1,5,1
8,2.75,4,4,1
8,2.75,3,5,1
8,2.75,0,1,1
9,3.833333333,3,3,0
9,3.833333333,2,2,0
9,3.833333333,2,3,0
9,3.833333333,2,3,0
9,3.833333333,2,3,0
9,3.833333333,1,2,0
9,3.833333333,2,3,0
9,3.833333333,4,4,0
9,3.833333333,3,3,0
9,3.833333333,3,3,0
9,3.833333333,3,3,0
9,3.833333333,4,4,0
9,3.833333333,3,4,0
9,3.833333333,3,4,0
10,3.666666667,3,4,1
10,3.666666667,3,2,1
10,3.666666667,2,3,1
10,3.666666667,3,2,1
10,3.666666667,5,4,1
10,3.666666667,4,2,1
10,3.666666667,3,4,1
10,3.666666667,4,3,1
10,3.666666667,5,4,1
10,3.666666667,5,3,1
10,3.666666667,4,3,1
10,3.666666667,5,4,1
10,3.666666667,3,3,1
10,3.666666667,4,4,1
11,4.083333333,5,5,0
11,4.083333333,5,4,0
11,4.083333333,4,5,0
11,4.083333333,4,4,0
11,4.083333333,4,4,0
11,4.083333333,4,4,0
11,4.083333333,4,4,0
11,4.083333333,4,3,0
11,4.083333333,2,2,0
11,4.083333333,3,3,0
11,4.083333333,4,3,0
11,4.083333333,4,3,0
11,4.083333333,2,4,0
11,4.083333333,4,4,0
12,4.25,4,3,0
12,4.25,3,3,0
12,4.25,3,4,0
12,4.25,4,4,0
12,4.25,3,3,0
12,4.25,1,0,0
12,4.25,3,2,0
12,4.25,4,4,0
12,4.25,3,3,0
12,4.25,3,3,0
12,4.25,3,3,0
12,4.25,3,3,0
12,4.25,3,5,0
12,4.25,3,4,0
13,4.333333333,3,4,0
13,4.333333333,3,3,0
13,4.333333333,2,3,0
13,4.333333333,2,3,0
13,4.333333333,3,4,0
13,4.333333333,3,2,0
13,4.333333333,3,4,0
13,4.333333333,4,4,0
13,4.333333333,3,2,0
13,4.333333333,4,4,0
13,4.333333333,3,3,0
13,4.333333333,2,3,0
13,4.333333333,3,3,0
13,4.333333333,2,2,0
14,3.583333333,2,4,0
14,3.583333333,4,3,0
14,3.583333333,2,5,0
14,3.583333333,3,5,0
14,3.583333333,2,4,0
14,3.583333333,2,3,0
14,3.583333333,3,5,0
14,3.583333333,4,4,0
14,3.583333333,3,3,0
14,3.583333333,3,3,0
14,3.583333333,3,4,0
14,3.583333333,4,5,0
14,3.583333333,4,4,0
14,3.583333333,2,4,0
15,3.5,3,4,1
15,3.5,4,3,1
15,3.5,2,4,1
15,3.5,3,3,1
15,3.5,3,4,1
15,3.5,3,4,1
15,3.5,2,4,1
15,3.5,3,4,1
15,3.5,2,2,1
15,3.5,3,4,1
15,3.5,3,3,1
15,3.5,3,5,1
15,3.5,3,4,1
15,3.5,2,4,1
16,5.25,3,4,0
16,5.25,3,3,0
16,5.25,2,5,0
16,5.25,4,4,0
16,5.25,4,4,0
16,5.25,4,3,0
16,5.25,3,4,0
16,5.25,4,4,0
16,5.25,4,4,0
16,5.25,4,3,0
16,5.25,4,4,0
16,5.25,4,4,0
16,5.25,4,4,0
16,5.25,4,4,0
17,3,2,5,1
17,3,4,4,1
17,3,2,5,1
17,3,2,4,1
17,3,2,5,1
17,3,3,4,1
17,3,2,5,1
17,3,5,4,1
17,3,5,3,1
17,3,5,5,1
17,3,3,4,1
17,3,3,2,1
17,3,5,5,1
17,3,5,1,1
18,3.75,4,4,1
18,3.75,3,2,1
18,3.75,1,4,1
18,3.75,1,1,1
18,3.75,1,2,1
18,3.75,4,1,1
18,3.75,0,4,1
18,3.75,4,5,1
18,3.75,3,2,1
18,3.75,5,5,1
18,3.75,0,4,1
18,3.75,4,5,1
18,3.75,4,4,1
18,3.75,3,4,1
19,3.333333333,5,5,1
19,3.333333333,5,5,1
19,3.333333333,2,5,1
19,3.333333333,5,5,1
19,3.333333333,2,3,1
19,3.333333333,2,4,1
19,3.333333333,3,5,1
19,3.333333333,3,2,1
19,3.333333333,2,2,1
