StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,over_18,yrborn,gender,gender_4_TEXT,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_7_TEXT,hisp_1,hisp_2,hisp_3,hisp_4,hisp_5,hisp_6,hisp_7,hisp_8,hisp_8_TEXT,asian_1,asian_2,asian_3,asian_4,asian_5,asian_6,asian_7,asian_8,asian_9,asian_10,asian_11,asian_12,asian_13,asian_14,asian_15,asian_16,asian_17,asian_17_TEXT,marstat,sexor,sexor_6_TEXT,income,educ,employ_1,employ_2,employ_3,employ_4,employ_5,employ_6,employ_7,employ_8,occ,occ_10_TEXT,lo_cog_1,lo_cog_2,lo_cog_3,lo_cog_4,lo_cog_5,lo_cog_6,lo_beh_1,lo_beh_2,lo_beh_3,lo_beh_4,lo_beh_5,lo_aff_1,lo_aff_2,lo_aff_3,lo_aff_4,pss_1,pss_2,pss_3,pss_4,pss_5,pss_6,pss_7,pss_8,pss_9,pss_10,stress_def,race_7_TEXT - Topics,stress_def - Topics
10/30/2017 10:57,10/30/2017 11:00,0,24.23.168.144,100,159,1,10/30/2017 11:00,R_VR3DoVIoo28r77r,,,,,37.8309021,-122.2196045,anonymous,EN,1,1,1991,2,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,5,1,,,,,,,,8,,5,5,4,5,5,5,5,4,5,3,5,5,5,5,6,2,2,3,3,3,3,3,2,2,2,"A contact anxiety attack over an issue or issues I can't control. Despite logically explaining away the stress, the cause(s) & what IS within my control, I still feel stress.",,Unknown
10/30/2017 11:02,10/30/2017 11:07,0,172.58.21.234,100,345,1,10/30/2017 11:07,R_3JaSb5ZWIIWmmyO,,,,,34.05439758,-118.2440033,anonymous,EN,1,1,1976,2,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,2,1,,,,,,,,6,,6,6,6,5,4,6,6,6,6,2,6,6,6,6,6,2,4,4,4,3,2,3,2,2,2,Undescrivable!!!!!,,Unknown
10/30/2017 11:08,10/30/2017 11:13,0,167.119.252.31,100,295,1,10/30/2017 11:13,R_10IB7ynZdpQFlnj,,,,,33.08700562,-117.1329041,anonymous,EN,1,1,1997,2,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,3,,1,,,,,,,5,,6,6,6,6,6,4,5,6,4,1,6,1,1,3,6,3,4,4,2,2,2,2,1,4,4,,,
10/30/2017 11:09,10/30/2017 11:15,0,167.119.252.31,100,332,1,10/30/2017 11:15,R_4Gk4iSkS7OYl8Q1,,,,,33.08700562,-117.1329041,anonymous,EN,1,1,1975,2,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,6,3,1,,,,,,,,4,,5,5,5,5,5,5,5,5,6,3,6,5,5,5,5,3,2,3,3,3,2,3,2,2,2,Not a good feeling.,,Unknown
10/30/2017 11:25,10/30/2017 11:29,0,76.176.59.86,100,212,1,10/30/2017 11:29,R_10pFNb5bdBBclgA,,,,,33.02839661,-117.1246033,anonymous,EN,1,1,1991,2,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,6,6,1,,,,,,,,8,,5,5,5,4,6,4,4,3,5,2,5,5,5,5,6,2,3,4,3,4,2,2,2,1,1,"It's not a good feeling, but it is what helps e get things done from time to time.",,Unknown
10/30/2017 11:33,10/30/2017 11:39,0,47.144.218.51,100,391,1,10/30/2017 11:39,R_3ISMID3mDe20ZlK,,,,,33.5789032,-117.1412048,anonymous,EN,1,1,1995,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,2,1,,,,,,,,6,,6,6,6,6,6,6,4,6,5,4,4,6,3,5,6,1,3,3,3,3,2,3,3,1,2,Stress to me is multiple things going on that you can’t really seem to cuntrol ,,Unknown
10/30/2017 11:45,10/30/2017 11:48,0,129.82.150.0,100,140,1,10/30/2017 11:48,R_3ikcQk0sq9h5VLA,,,,,40.58529663,-105.0843964,anonymous,EN,1,1,1992,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,6,1,,,,,,,,6,,6,5,5,5,5,5,6,5,6,1,5,6,5,5,6,1,3,2,3,2,2,3,3,1,1,"To me, stress is that feeling that you feel when there is too much going on in your life. I feel it when I have too many assignments and hw due in class.",,Unknown
10/30/2017 14:07,10/30/2017 14:15,0,73.153.100.191,100,470,1,10/30/2017 14:15,R_ZIyoYyuxLGtDtpT,,,,,39.92050171,-105.0867004,anonymous,EN,1,1,1991,2,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,3,5,,,1,,,,,,,,5,5,4,6,4,4,4,4,4,3,4,5,3,4,6,2,3,3,3,2,1,2,2,2,1,Stress is a lot of things.It's mostly the feeling you get when you have lost control of something.,,Unknown
10/30/2017 14:53,10/30/2017 14:57,0,172.58.23.188,100,262,1,10/30/2017 14:57,R_3p3Xzd4q4i4fDaP,,,,,34.05439758,-118.2440033,anonymous,EN,1,1,1990,2,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,4,2,1,,,,,,,,6,,6,6,6,6,6,6,6,6,6,2,6,6,5,6,6,1,0,1,4,4,0,3,3,0,1,Stress is the bodies response to uncontrollable events,,Unknown
10/30/2017 17:32,10/30/2017 17:43,0,129.19.63.113,100,657,1,10/30/2017 17:43,R_psJ6LcuXZzbatFL,,,,,40.01499939,-105.2705994,anonymous,EN,1,1,1993,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,5,,,,,,1,,,,,5,5,6,6,6,5,5,5,6,2,6,6,6,5,6,0,3,3,3,3,2,3,3,1,1,"Stress is an intense feeling; it can be caused by both external or internal factors, or the interplay of both. Stress might be a good thing because it helps boost my productivity (when deadline is coming close, bills are due, etc.). However, stress can also be awful (e.g: chronic stress on an unsolvable issue), it can relate to anxiety and even depression.",,Unknown
