"","stress_def"
"1","A contact anxiety attack over an issue or issues I can't control. Despite logically explaining away the stress, the cause(s) & what IS within my control, I still feel stress."
"2","Undescrivable!!!!!"
"3",NA
"4","Not a good feeling."
"5","It's not a good feeling, but it is what helps e get things done from time to time."
"6","Stress to me is multiple things going on that you can’t really seem to cuntrol"
"7","To me, stress is that feeling that you feel when there is too much going on in your life. I feel it when I have too many assignments and hw due in class."
"8","Stress is a lot of things.It's mostly the feeling you get when you have lost control of something."
"9","Stress is the bodies response to uncontrollable events"
"10","Stress is an intense feeling; it can be caused by both external or internal factors, or the interplay of both. Stress might be a good thing because it helps boost my productivity (when deadline is coming close, bills are due, etc.). However, stress can also be awful (e.g: chronic stress on an unsolvable issue), it can relate to anxiety and even depression."
"11","A mental response to circumstances."
"12","The feeling you get from anxiety."
"13","Constant feeling of uneasiness, unpredictability 
Mental overload"
"14","Stress is you body feeling burdened by all of the things on your plate at a certain point in time."
"15","Unending worry about things I need to accomplish. Tension that will not go away until I face it head on."
"16","A feeling of urgency that can be helpful and impairing. It seems like the bad stress occurs when the demands upon me are larger than the resources I have to cope."
"17","Stress is something everyone experiences. And there are many ways hat people cope with it. But it is the feeling you feel when you need to get things done."
"18","Sort of a combo of fear and anxiety but sort of to a lesser degree. Well, It depends on the situation."
"19","My body's response to uncontrollable circumstances"
"20","To me it's when I am mentally burdened and after a while I feel drained"
"21","The worst feeling ever!"
"22","Physiological response to perceived environmental threats or other external stimuli with potentially negative impacts."
"23","When things aren't going your way and you feel it physiologically, that's stress."
"24","To me stress is defined as a strong negative emotion and a feeling of upset or strain. Some stress is good, but too much can lead to negative consequences."
"25","It's hard to explain, but its something I feel when I have anxieties or a lot to do"
"26","Stress is when you are feeling bad because you did something wrong or there is a lot going on in your life."
"27","Stress? If life does not turn out as expected, even after putting in much work. That is stress"
"28","It comes about because there is too much going on in life."
"29","I define stress as a feeling that intensifies other emotions, and can be good or bad to your health depending on how you choose to look at stress."
"30","To me stress is an emotion that comes out when I need to get things done. I think it actually helps me get my work done."
"31","Sometimes its when I am having trouble with things it comes out and it doesn't feel good."
"32","Stress is my body reacting to the events in my life that I cant control."
"33","When I have too many exams!!"
"34","Feeling like I am under pressure - in a negative way"
"35","It really depends on what the situation is. But my stress is determined by what is going on in my life"
"36","The feeling experienced when you feel the pressure of your obligations, expectations, hopes, dreams, insecurities, and other life difficulties. It can be experienced as fatigue, anxiety, depression, frustration, sadness, anger, etc."
"37","A response to my anxiety's"
"38","To me it is the physical reaction I feel to things in my life I do not like"
"39","Stress is when I have too much on my plate, whether it's something I can control or not."
